marca;preco;link;tamanho;taxa_atualizacao
"Monitor Gamer LG 29"" UltraWide Full HD, 75Hz, DisplayPort, HDMI, VESA FreeSync - 29UM69G-B";R$ 999,90;https://www.kabum.com.br/produto/277219/monitor-gamer-lg-29-ultrawide-full-hd-75hz-displayport-hdmi-vesa-freesync-29um69g-b;29;75
"Monitor Gamer MSI G32CQ5P E2, 31.5"", 170Hz, WQHD, 1ms, DisplayPort e HDMI, Adaptive-Sync";R$ 1.749,99;https://www.kabum.com.br/produto/524452/monitor-gamer-msi-g32cq5p-e2-31-5-170hz-wqhd-1ms-displayport-e-hdmi-adaptive-sync;31.5;170
"Monitor Gamer Gigabyte 27"", 180Hz, Full HD, 1ms, DisplayPort e HDMI, 108% sRGB, HDR, Adaptive-Sync - GS27FC SA";R$ 1.099,98;https://www.kabum.com.br/produto/495223/monitor-gamer-gigabyte-27-180hz-full-hd-1ms-displayport-e-hdmi-108-srgb-hdr-adaptive-sync-gs27fc-sa;27;180
Monitor Gamer Neologic 24 Polegadas, Full HD, 165Hz, IPS, 1Ms, Vortexedge 24x, HDMI/Display Port, Com Cabo Display Port, Fonte Bivolt - Nve2401x;R$ 749,00;https://www.kabum.com.br/produto/507439/monitor-gamer-neologic-24-polegadas-full-hd-165hz-ips-1ms-vortexedge-24x-hdmi-display-port-com-cabo-display-port-fonte-bivolt-nve2401x;;165
"Monitor Gamer LG UltraGear 27"" OLED, QHD, 240Hz, 0.03ms, DisplayPort, HDMI e USB, NVIDIA G-SYNC, AMD FreeSync, HDR400 - 27GS95QE-B";R$ 5.699,99;https://www.kabum.com.br/produto/614880/monitor-gamer-lg-ultragear-27-oled-qhd-240hz-0-03ms-displayport-hdmi-e-usb-nvidia-g-sync-amd-freesync-hdr400-27gs95qe-b;27;240
"Monitor Gamer AOC 24.5"", Wide, 240Hz, Full HD, 0.5ms, DisplayPort e HDMI, 119,9% sRGB, HDR 10, FreeSync Premium, VESA - 25G3ZM";R$ 1.439,99;https://www.kabum.com.br/produto/462424/monitor-gamer-aoc-24-5-wide-240hz-full-hd-0-5ms-displayport-e-hdmi-119-9-srgb-hdr-10-freesync-premium-vesa-25g3zm;24.5;240
Monitor Gamer Samsung Odyssey G40, 27p, FHD, Tela Plana, 240Hz, 1Ms, HDMI, Freesync Premium, G-Sync, Preto;R$ 1.452,65;https://www.kabum.com.br/produto/374599/monitor-gamer-samsung-odyssey-g40-27p-fhd-tela-plana-240hz-1ms-hdmi-freesync-premium-g-sync-preto;;240
Monitor Gamer AOC Agon Curved, 31.5 Polegadas, LED, 165hz, 1MS, Widescreen - AG323FCXE;R$ 1.519,05;https://www.kabum.com.br/produto/162934/monitor-gamer-aoc-agon-curved-31-5-polegadas-led-165hz-1ms-widescreen-ag323fcxe;;165
"Monitor Gamer Acer Nitro XZ342CU V3, 34"", QHD, 180Hz, 1ms, DisplayPort e HDMI, FreeSync HDR, FreeSync - UM.CX2AA.304";R$ 2.549,99;https://www.kabum.com.br/produto/623777/monitor-gamer-acer-nitro-xz342cu-v3-34-qhd-180hz-1ms-displayport-e-hdmi-freesync-hdr-freesync-um-cx2aa-304;34;180
"Monitor Gamer MSI OLED QUANTUM DOT MAG 341CQP, 34"" QHD, 175Hz, 0.3ms, DisplayPort e HDMI, HDR, Adaptive-Sync";R$ 6.499,00;https://www.kabum.com.br/produto/524450/monitor-gamer-msi-oled-quantum-dot-mag-341cqp-34-qhd-175hz-0-3ms-displayport-e-hdmi-hdr-adaptive-sync;34;175
"Monitor Gamer LG 23.8"" LED FHD, 60Hz, 5Ms, IPS, VGA, HDMI, DP - 24BL550J";R$ 699,99;https://www.kabum.com.br/produto/358329/monitor-gamer-lg-23-8-led-fhd-60hz-5ms-ips-vga-hdmi-dp-24bl550j;23.8;60
"Monitor Gamer MSI MAG 325CQRXF, 31.5"", 240Hz, WQHD, 1ms, DisplayPort e HDMI, HDR, Adaptive-Sync";R$ 2.899,00;https://www.kabum.com.br/produto/524451/monitor-gamer-msi-mag-325cqrxf-31-5-240hz-wqhd-1ms-displayport-e-hdmi-hdr-adaptive-sync;31.5;240
"Monitor LG 32"" UHD 4K, DisplayPort e HDMI, HDR10, AMD Free Sync, Dynamic Action Sync, Black Stabilizer, UltraHD - 32UR500-B";R$ 1.812,00;https://www.kabum.com.br/produto/587331/monitor-lg-32-uhd-4k-displayport-e-hdmi-hdr10-amd-free-sync-dynamic-action-sync-black-stabilizer-ultrahd-32ur500-b;32;
"Monitor Gamer PCfort 27"" LED Full HD, IPS, 100Hz, 5ms, HDMI/VGA/VESA - T2710";R$ 674,90;https://www.kabum.com.br/produto/614777/monitor-gamer-pcfort-27-led-full-hd-ips-100hz-5ms-hdmi-vga-vesa-t2710;27;100
"Monitor Gamer Duex, FULL HD, 1MS, 240Hz, Curvo, VA, Freesync, 27"", HDMI/Display Port, USB - Dx270zg";R$ 1.118,76;https://www.kabum.com.br/produto/469444/monitor-gamer-duex-full-hd-1ms-240hz-curvo-va-freesync-27-hdmi-display-port-usb-dx270zg;27;240
"Monitor Gamer ASUS TUF VG34VQL3A 34"" WQHD Curvo, 180Hz, 1ms, DisplayPort e HDMI, Freesync, 125% sRGB, HDR - 90LM06F0-B02EB0";R$ 2.499,99;https://www.kabum.com.br/produto/583034/monitor-gamer-asus-tuf-vg34vql3a-34-wqhd-curvo-180hz-1ms-displayport-e-hdmi-freesync-125-srgb-hdr-90lm06f0-b02eb0;34;180
